id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
887654782450869056,Home in Solhem · 1 bedroom · 1 bed · 1 private bath,109484367,Helene,,Spånga-Tensta,59.382223573622475,17.875863061502535,Private room,1486,1,0,,,2,363,0,
887727958441571412,Rental unit in Södermalm · ★4.70 · 1 bedroom · 2 beds · 1 bath,468247863,Christos,,Södermalms,59.306401065806654,18.076692342177104,Entire home/apt,750,2,10,2023-07-13,1.29,1,10,10,
888089978178704101,Rental unit in Östermalm · ★5.0 · 1 bedroom · 1 bed · 1 bath,17586057,Kristiina,,Östermalms,59.33943694346613,18.11306059181384,Entire home/apt,,5,3,2023-08-09,0.48,1,0,3,
888142589955176384,Home in Hägersten-Liljeholmen · 3 bedrooms · 3 beds · 1.5 baths,456742951,Jessica,,Hägersten-Liljeholmens,59.29461620000001,17.9471113,Entire home/apt,1800,7,2,2023-08-08,0.29,1,0,2,
888170023936512913,Rental unit in Bromma · 1 bedroom · 2 beds · 1.5 shared baths,43023036,Anastasia,,Bromma,59.32941,17.95307,Private room,,1,0,,,1,0,0,
888182960282566054,Rental unit in Södermalm · ★4.73 · 1 bedroom · 1 bed · 1 shared bath,41450840,Praveen,,Södermalms,59.313599921368414,18.05896350138274,Private room,533,1,11,2023-12-23,5.59,1,42,11,
888365638388585781,Home in Tensta · ★4.33 · 4 bedrooms · 5 beds · 1.5 baths,11235312,Imran,,Spånga-Tensta,59.39239380511164,17.91715363491822,Entire home/apt,1295,2,6,2023-08-20,0.87,1,87,6,
888555245763545274,Rental unit in Enskede-Årsta-Vantör · ★4.56 · 1 bedroom · 1 bed · 1 shared bath,514162028,Magdalena,,Enskede-Årsta-Vantörs,59.29166,18.08601,Private room,636,1,9,2023-11-07,2.09,2,264,9,
888922251974796964,Rental unit in Östermalm · ★4.82 · Studio · 1 bed · 1 bath,271346174,StayPlus,,Östermalms,59.3459833,18.0985077,Entire home/apt,1356,5,11,2023-08-27,1.44,29,60,11,
889151658296723307,Rental unit in Södermalm · ★5.0 · 3 bedrooms · 3 beds · 2 baths,240997761,Peter,,Södermalms,59.32154,18.07219,Entire home/apt,3450,2,4,2023-12-10,1.02,1,21,4,
889577972427278325,Rental unit in Östermalm · 4 bedrooms · 7 beds · 2.5 baths,437467314,Jan,,Östermalms,59.346185996143824,18.109508467531505,Entire home/apt,4300,3,2,2023-08-26,0.45,1,188,2,
889958825676743876,Rental unit in Enskede-Årsta-Vantör · 1 bedroom · 1 bed · 1 bath,29702520,Pontus,,Enskede-Årsta-Vantörs,59.25435,18.0255,Private room,208,1,0,,,1,358,0,
890402447708130953,Home in Bromma · 3 bedrooms · 5 beds · 1 bath,93317156,Gösta,,Bromma,59.34015190659367,17.905707752465013,Entire home/apt,2996,5,0,,,1,365,0,
890550376964753216,Rental unit in Norrmalm · 2 bedrooms · 4 beds · 1 bath,29510510,Daniel,,Norrmalms,59.340275313482415,18.051986431334782,Entire home/apt,1279,60,0,,,1,358,0,
890595790512941515,Rental unit in Hägersten-Liljeholmen · ★5.0 · 2 bedrooms · 2 beds · 1 bath,3501702,Karin,,Hägersten-Liljeholmens,59.306077440972444,18.035987801849842,Entire home/apt,1650,7,3,2023-08-22,0.58,1,288,3,
890986553011380356,Rental unit in Kungsholmen · ★5.0 · 2 bedrooms · 2 beds · 1 bath,185711287,Elise,,Kungsholmens,59.33046,18.02976,Entire home/apt,,4,5,2023-08-07,0.80,2,0,5,
891099345126603033,Home in Nockebyhov · ★5.0 · 3 bedrooms · 3 beds · 1 bath,185531997,Craig,,Bromma,59.3319,17.91686,Entire home/apt,2500,5,3,2023-08-11,0.55,1,182,3,
891199136897372025,Rental unit in Södermalm · ★4.75 · 1 bedroom · 3 beds · 1.5 baths,108452980,Malin,,Södermalms,59.3195981,18.0627692,Entire home/apt,2500,4,8,2023-08-14,1.45,1,171,8,
891232165483550837,Rental unit in Hägersten-Liljeholmen · 1 bedroom · 1 bed · 1 bath,9739651,Philip,,Hägersten-Liljeholmens,59.3165829,17.9974035,Entire home/apt,1920,3,1,2023-08-05,0.20,1,21,1,
891345795067836409,Rental unit in Enskede-Årsta-Vantör · 2 bedrooms · 3 beds · 1 bath,109362413,Michelle,,Enskede-Årsta-Vantörs,59.30024110062007,18.051805889599525,Entire home/apt,1700,5,1,2023-08-06,0.21,1,7,1,
891354900588286841,Rental unit in Södermalm · ★5.0 · 1 bedroom · 1 bed · 1.5 baths,304043020,Hanna,,Södermalms,59.3127858,18.0810778,Entire home/apt,2200,5,6,2023-08-17,1.02,1,3,6,
891606588613334803,Home in Bromma · 5 bedrooms · 7 beds · 2 baths,278388915,Martin,,Bromma,59.32713764301466,17.969422169161238,Entire home/apt,4950,4,1,2023-07-05,0.17,1,358,1,
891734761192184042,Rental unit in Östermalm · 2 bedrooms · 2 beds · 1 bath,514802875,Ingalill,,Östermalms,59.348729816016565,18.063628490663316,Entire home/apt,2690,4,0,,,1,1,0,
891875642694807454,Home in Nockebyhov · 3 bedrooms · 3 beds · 1.5 baths,92926052,Maja,,Bromma,59.33548,17.93179,Entire home/apt,1992,1,0,,,1,87,0,
891980714268075761,Rental unit in Norrmalm · ★5.0 · 2 bedrooms · 2 beds · 1 bath,39217892,Edvard,,Norrmalms,59.342748516984045,18.06076042150104,Entire home/apt,2000,1,4,2023-09-14,1.03,1,23,4,
892016204563966487,Rental unit in Kungsholmen · Studio · 1 bed · 1 bath,463209488,Mikael,,Kungsholmens,59.33422770000001,18.0303427,Entire home/apt,1300,1,2,2023-11-04,0.46,1,83,2,
892061240997267005,Rental unit in Norrmalm · 1 bedroom · 1 bed · 1 bath,52030134,Edon,,Norrmalms,59.3444540835284,18.0514482365942,Entire home/apt,2172,5,0,,,1,83,0,
892064856887766735,Rental unit in Kungsholmen · ★5.0 · 1 bedroom · 1 bed · 1 bath,79450036,Mauricio,,Kungsholmens,59.32494714062625,18.00698809325695,Entire home/apt,1279,3,14,2023-10-02,2.26,1,53,14,
892598152738012494,Home in Enskede-Årsta-Vantör · ★5.0 · 5 bedrooms · 6 beds · 2 baths,505981668,Erika,,Enskede-Årsta-Vantörs,59.26883549363212,18.03081761534424,Entire home/apt,,2,7,2023-08-02,1.24,1,0,7,
892772288057641463,Rental unit in Bromma · 1 bedroom · 1 bed · 1 bath,387907833,Vahid,,Bromma,59.363641164696666,17.94397710544033,Entire home/apt,491,28,1,2023-05-20,0.13,1,87,1,
892815716185873716,Condo in Södermalm · ★5.0 · 3 bedrooms · 2 beds · 1 bath,11127512,Erik,,Södermalms,59.31339359999999,18.0919636,Entire home/apt,5929,3,5,2023-11-21,0.95,1,234,5,
893145835961022277,Rental unit in Södermalm · 1 bedroom · 1 bed · 1 bath,27602944,Anna,,Södermalms,59.31199309999999,18.0797121,Entire home/apt,1200,4,2,2023-08-13,0.28,1,13,2,
893179485772866019,Rental unit in Södermalm · 1 bedroom · 1 bed · 1 bath,9424815,Ludwig,,Södermalms,59.30959779917962,18.08815412727008,Entire home/apt,838,4,0,,,1,1,0,
893496921871211196,Home in Älvsjö · 4 bedrooms · 2 beds · 1.5 baths,515231715,Maria,,Älvsjö,59.28448710000001,18.0319266,Entire home/apt,2990,3,1,2023-07-29,0.19,1,15,1,
893505963679264845,Rental unit in Enskede-Årsta-Vantör · ★4.88 · 1 bedroom · 1 bed · 1.5 shared baths,515232678,Buba,,Enskede-Årsta-Vantörs,59.2554607679311,18.025424256920815,Private room,250,1,17,2023-08-29,2.49,1,304,17,
893860232825093833,Rental unit in Östermalm · ★4.92 · 1 bedroom · 1 bed · 1 bath,85086224,Josefin,,Östermalms,59.34749,18.10524,Private room,550,1,48,2023-12-03,6.76,1,79,48,
894022812003647977,Rental unit in Södermalm · 1 bedroom · 1 bed · 1 bath,6377806,Filip Arijan,,Södermalms,59.316194252559775,18.083517864387765,Entire home/apt,749,14,0,,,1,16,0,
